Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Minnesota Timberwolves*,82,243.0,38.5,83.5,.461,3.7,10.6,.347,34.8,72.8,.478,20.4,27.5,.743,13.0,29.6,42.6,25.2,7.8,5.2,13.9,23.0,101.1
Utah Jazz*,82,241.2,36.5,74.5,.490,3.0,8.2,.372,33.5,66.4,.504,24.9,32.2,.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0
Seattle SuperSonics*,82,240.9,37.2,78.8,.473,7.6,19.1,.396,29.6,59.6,.497,18.5,25.7,.721,11.4,27.1,38.5,24.2,9.8,4.6,14.0,22.1,100.6
Phoenix Suns*,82,243.4,38.3,81.8,.468,5.3,14.8,.356,33.0,67.1,.492,17.8,23.8,.749,12.1,29.9,42.0,25.9,9.2,5.2,15.1,21.5,99.6
New Jersey Nets*,82,242.4,37.3,84.5,.441,3.8,11.4,.331,33.5,73.1,.458,21.3,28.7,.744,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6
Houston Rockets*,82,241.8,35.9,79.4,.452,7.0,20.4,.343,28.9,59.1,.490,19.9,25.9,.771,12.0,28.7,40.7,21.9,8.4,3.6,15.8,20.2,98.8
Washington Wizards,82,241.5,37.6,83.1,.452,3.9,11.5,.339,33.7,71.5,.470,18.2,26.3,.691,13.7,28.5,42.2,23.2,8.4,4.6,14.1,22.4,97.2
Chicago Bulls*,82,242.1,37.4,82.9,.451,3.8,11.7,.323,33.6,71.2,.471,18.2,24.5,.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7
Charlotte Hornets*,82,241.2,36.2,77.4,.468,4.2,11.0,.383,32.0,66.3,.482,20.0,26.7,.751,12.0,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6
Vancouver Grizzlies,82,241.8,36.7,80.1,.458,4.0,11.0,.362,32.7,69.1,.473,19.3,26.2,.739,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6
Indiana Pacers*,82,241.8,35.6,75.9,.469,4.9,12.5,.390,30.7,63.3,.485,19.9,26.0,.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0
Boston Celtics,82,240.6,36.7,84.6,.434,5.1,15.2,.332,31.7,69.3,.457,17.4,24.0,.726,14.6,24.9,39.5,22.1,12.0,4.5,16.2,26.9,95.9
Los Angeles Clippers,82,241.2,35.7,81.6,.438,6.4,17.9,.358,29.3,63.7,.461,18.0,25.0,.723,12.7,27.8,40.4,18.7,7.6,5.6,16.1,22.3,95.9
Atlanta Hawks*,82,242.4,35.2,77.5,.455,4.1,12.4,.332,31.1,65.1,.478,21.3,28.2,.756,13.5,29.5,43.0,19.1,8.0,6.0,14.8,20.4,95.9
Miami Heat*,82,240.9,34.8,77.2,.450,6.7,18.8,.355,28.1,58.3,.481,18.8,25.4,.739,12.5,29.5,42.0,21.4,8.1,5.2,15.0,24.2,95.0
Toronto Raptors,82,243.0,36.2,83.1,.435,4.5,13.2,.343,31.6,69.8,.453,18.0,25.1,.718,14.5,26.2,40.7,21.3,9.4,8.1,16.7,22.6,94.9
Milwaukee Bucks,82,243.0,35.6,78.0,.456,3.0,8.6,.354,32.5,69.5,.469,20.3,26.4,.767,12.6,27.3,39.9,20.1,8.9,4.4,16.9,23.4,94.5
Portland Trail Blazers*,82,241.8,35.2,78.0,.451,4.0,12.8,.309,31.2,65.2,.479,20.0,27.1,.737,13.2,30.8,44.0,21.5,7.1,5.7,16.9,22.7,94.3
Detroit Pistons,82,243.4,34.9,77.7,.449,3.6,11.4,.312,31.3,66.3,.473,20.8,27.9,.745,12.7,28.5,41.2,19.5,8.3,4.2,14.6,22.0,94.2
Philadelphia 76ers,82,240.9,34.6,78.2,.443,3.0,9.9,.300,31.6,68.3,.463,21.1,28.7,.737,13.7,28.0,41.7,21.1,8.9,6.0,16.5,22.9,93.3
Sacramento Kings,82,240.6,36.1,81.5,.442,3.5,9.8,.351,32.6,71.7,.455,17.6,25.6,.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1
San Antonio Spurs*,82,241.8,35.3,75.5,.468,3.7,10.5,.350,31.7,64.9,.488,18.2,26.4,.688,12.0,32.2,44.2,22.4,6.3,6.9,16.1,21.1,92.5
Cleveland Cavaliers*,82,241.8,34.4,75.7,.454,3.6,9.8,.372,30.7,65.9,.466,20.2,26.7,.756,11.6,28.4,40.1,23.1,9.9,5.1,17.3,23.6,92.5
New York Knicks*,82,241.8,34.9,78.2,.447,4.7,13.9,.335,30.3,64.3,.471,17.1,22.1,.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6
Dallas Mavericks,82,242.7,35.1,82.4,.427,5.1,14.4,.357,30.0,67.9,.442,16.0,21.2,.753,12.3,27.8,40.1,18.7,7.9,5.7,14.4,20.0,91.4
Orlando Magic,82,241.8,33.8,78.7,.429,3.6,11.1,.323,30.2,67.7,.447,18.9,26.1,.726,14.4,26.9,41.2,20.7,7.9,5.4,15.3,19.7,90.1
Denver Nuggets,82,240.6,32.6,78.2,.417,3.5,10.9,.323,29.1,67.3,.433,20.2,26.2,.772,12.7,26.3,39.0,18.9,8.1,4.8,16.0,23.6,89.0
Golden State Warriors,82,241.8,34.7,83.9,.413,2.3,8.5,.272,32.4,75.5,.429,16.6,23.3,.710,15.7,30.2,45.9,20.8,7.6,5.5,16.7,22.7,88.3
League Average,82,241.9,35.9,79.7,.450,4.4,12.7,.346,31.5,67.0,.470,19.4,26.3,.737,13.1,28.5,41.5,22.0,8.4,5.1,15.5,22.4,95.6
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings*,50,244.0,38.4,86.1,.445,5.8,18.9,.308,32.6,67.3,.484,17.7,25.9,.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2
Los Angeles Lakers*,50,241.0,36.8,78.7,.468,4.8,13.7,.352,32.0,65.0,.492,20.5,30.1,.683,12.4,29.6,42.0,21.9,7.8,5.7,15.1,24.6,99.0
Phoenix Suns*,50,241.0,35.9,80.1,.449,5.2,14.0,.372,30.7,66.0,.465,18.5,24.3,.760,12.0,28.4,40.3,25.0,8.9,4.0,13.6,20.4,95.6
Seattle SuperSonics,50,242.0,35.1,79.5,.442,6.2,18.0,.344,28.9,61.5,.470,18.4,27.1,.681,13.5,28.4,42.0,21.7,7.9,4.0,15.3,20.9,94.9
Portland Trail Blazers*,50,243.5,34.9,79.1,.442,4.9,13.5,.364,30.0,65.6,.457,20.0,27.0,.743,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5,94.8
Indiana Pacers*,50,242.0,34.6,77.3,.448,5.9,16.0,.368,28.7,61.3,.469,19.5,24.6,.796,11.5,29.0,40.5,20.1,6.3,4.5,13.0,21.6,94.7
Houston Rockets*,50,241.5,35.1,76.0,.462,6.7,18.3,.368,28.4,57.7,.492,17.3,23.7,.729,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2,94.2
Denver Nuggets,50,240.5,33.6,79.8,.421,6.0,18.4,.328,27.6,61.3,.450,20.2,26.5,.762,12.9,27.8,40.8,19.4,7.5,5.5,14.8,22.9,93.5
Utah Jazz*,50,243.5,33.7,72.4,.465,2.8,7.8,.361,30.9,64.6,.478,23.2,30.2,.767,11.1,30.2,41.3,24.1,8.0,5.5,16.3,22.7,93.3
Boston Celtics,50,243.0,36.3,83.3,.436,5.5,15.2,.360,30.9,68.1,.453,14.9,21.5,.692,13.6,29.2,42.8,21.5,9.1,5.1,16.1,23.9,93.0
Charlotte Hornets,50,243.0,33.4,74.4,.449,5.4,14.7,.365,28.1,59.7,.470,20.7,27.7,.747,9.6,29.9,39.5,22.2,8.9,4.9,15.9,22.0,92.9
Minnesota Timberwolves*,50,240.5,36.8,86.5,.425,2.4,8.2,.298,34.3,78.3,.438,17.0,22.9,.743,15.1,27.8,42.9,24.4,8.5,5.4,12.8,23.7,92.9
San Antonio Spurs*,50,241.5,34.8,76.2,.456,3.4,10.4,.330,31.4,65.8,.476,19.8,28.3,.698,12.3,31.7,44.0,22.0,8.4,7.0,15.2,20.2,92.8
Milwaukee Bucks*,50,241.0,35.1,76.4,.459,4.6,12.4,.373,30.4,64.0,.476,16.9,23.1,.733,11.4,27.4,38.8,20.6,8.8,4.0,14.4,22.8,91.7
Dallas Mavericks,50,241.5,35.0,80.7,.434,4.0,11.9,.339,30.9,68.8,.450,17.6,24.2,.728,12.9,29.6,42.5,18.4,7.0,5.8,13.8,21.3,91.6
New Jersey Nets,50,241.0,33.8,83.2,.406,4.5,13.6,.331,29.3,69.6,.421,19.2,25.0,.769,14.3,28.7,43.0,18.5,9.8,5.5,15.0,22.7,91.4
Washington Wizards,50,241.0,35.4,79.4,.445,3.6,11.6,.309,31.8,67.8,.469,16.9,24.0,.705,11.9,28.1,40.0,21.3,7.9,3.9,14.7,23.0,91.2
Toronto Raptors,50,241.5,33.2,78.8,.421,4.5,13.2,.341,28.7,65.6,.437,20.2,26.6,.760,14.2,28.9,43.2,20.7,8.8,6.4,16.0,22.8,91.1
Los Angeles Clippers,50,242.5,34.2,80.1,.427,4.3,13.4,.320,29.9,66.8,.448,17.7,24.5,.721,13.3,25.9,39.2,16.4,8.5,4.7,15.9,24.5,90.4
Detroit Pistons*,50,241.0,33.2,74.3,.447,5.0,13.6,.365,28.2,60.7,.465,19.0,25.7,.740,12.1,28.2,40.3,20.2,8.9,4.2,15.8,22.8,90.4
Philadelphia 76ers*,50,243.0,33.1,77.7,.426,2.0,7.4,.264,31.2,70.2,.444,21.5,29.7,.722,14.6,28.6,43.1,18.7,10.8,5.4,16.4,23.0,89.7
Orlando Magic*,50,241.0,33.7,78.9,.428,4.5,13.5,.330,29.3,65.4,.448,17.5,25.0,.700,13.8,28.9,42.7,21.3,9.9,4.3,16.4,18.7,89.5
Miami Heat*,50,240.5,32.3,71.3,.453,5.8,16.1,.359,26.5,55.2,.481,18.6,25.2,.735,10.1,30.2,40.3,20.4,6.5,6.1,14.9,20.7,89.0
Vancouver Grizzlies,50,243.5,32.9,76.8,.428,3.0,9.1,.327,29.9,67.7,.442,20.2,28.2,.717,13.0,27.2,40.2,19.3,8.4,4.0,17.0,22.5,88.9
Golden State Warriors,50,242.5,34.6,83.5,.415,3.2,11.3,.287,31.4,72.2,.435,15.9,23.5,.676,16.3,31.2,47.5,20.7,8.3,4.4,15.4,25.4,88.3
New York Knicks*,50,242.0,32.2,74.1,.435,4.2,11.8,.353,28.0,62.3,.450,17.8,24.4,.732,11.0,30.2,41.2,19.3,7.9,5.2,16.1,22.8,86.4
Cleveland Cavaliers,50,241.0,31.2,71.2,.439,3.6,10.7,.341,27.6,60.5,.456,20.3,27.1,.749,9.4,26.3,35.8,21.9,9.0,4.1,15.7,24.2,86.4
Atlanta Hawks*,50,241.5,30.8,75.2,.409,3.9,12.9,.306,26.8,62.3,.431,20.8,28.4,.731,13.5,30.0,43.5,15.6,6.9,5.2,14.9,19.7,86.3
Chicago Bulls,50,241.5,30.8,76.7,.401,3.5,12.2,.289,27.2,64.5,.422,16.8,23.7,.709,11.5,27.9,39.3,20.3,8.7,3.4,15.5,22.2,81.9
League Average,50,241.8,34.2,78.2,.437,4.5,13.2,.339,29.7,65.0,.457,18.8,25.8,.728,12.6,29.1,41.7,20.7,8.4,5.0,15.3,22.2,91.6
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings*,82,241.5,40.0,88.9,.450,6.5,20.2,.322,33.4,68.7,.487,18.5,24.6,.754,12.9,32.1,45.0,23.8,9.6,4.6,16.2,21.1,105.0
Detroit Pistons*,82,241.8,37.1,80.9,.459,5.4,14.9,.359,31.8,66.0,.481,23.9,30.6,.781,11.2,30.0,41.2,20.8,8.1,3.3,15.7,24.5,103.5
Dallas Mavericks,82,240.6,39.0,85.9,.453,6.3,16.2,.391,32.6,69.8,.468,17.2,21.4,.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,101.4
Indiana Pacers*,82,240.6,37.2,81.0,.459,7.1,18.1,.392,30.0,62.8,.478,19.9,24.5,.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3
Milwaukee Bucks*,82,242.1,38.7,83.3,.465,4.8,13.0,.369,33.9,70.2,.483,19.0,24.2,.786,12.4,28.9,41.3,22.6,8.2,4.6,15.0,24.6,101.2
Los Angeles Lakers*,82,241.5,38.3,83.4,.459,4.2,12.8,.329,34.1,70.6,.482,20.1,28.9,.696,13.6,33.4,47.0,23.4,7.5,6.5,13.9,22.5,100.8
Orlando Magic,82,240.9,38.6,85.5,.452,3.6,10.6,.338,35.1,74.9,.468,19.2,26.1,.735,14.0,31.0,44.9,20.8,9.1,5.7,17.6,24.0,100.1
Houston Rockets,82,241.8,36.6,81.3,.450,7.1,19.8,.358,29.5,61.5,.480,19.2,26.2,.733,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3,99.5
Boston Celtics,82,240.6,37.2,83.9,.444,5.1,15.4,.331,32.2,68.5,.469,19.8,26.5,.745,13.5,29.5,43.0,21.2,9.7,3.5,15.4,27.1,99.3
Seattle SuperSonics*,82,241.2,37.9,84.7,.447,6.7,19.6,.339,31.2,65.1,.480,16.6,23.9,.695,12.7,30.3,43.0,22.9,8.0,4.2,14.0,21.7,99.1
Denver Nuggets,82,242.1,37.3,84.3,.442,5.7,17.0,.336,31.5,67.2,.469,18.7,25.8,.724,13.1,31.6,44.7,23.3,6.8,7.5,15.6,23.9,99.0
Phoenix Suns*,82,241.5,37.7,82.6,.457,5.6,15.2,.368,32.1,67.4,.477,17.9,23.6,.759,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1,98.9
Minnesota Timberwolves*,82,242.7,39.3,84.3,.467,3.0,8.7,.346,36.3,75.5,.481,16.8,21.6,.780,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3,98.5
Charlotte Hornets*,82,241.2,35.8,79.7,.449,4.1,12.2,.339,31.7,67.5,.469,22.7,30.0,.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4
New Jersey Nets,82,241.8,36.3,83.9,.433,5.8,16.8,.347,30.5,67.2,.454,19.5,24.9,.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98.0
Portland Trail Blazers*,82,241.2,36.8,78.4,.470,5.0,13.8,.361,31.9,64.7,.493,18.8,24.7,.760,11.8,31.2,43.0,23.5,7.7,4.8,15.2,22.7,97.5
Toronto Raptors*,82,240.9,36.3,83.9,.433,5.2,14.3,.363,31.2,69.6,.447,19.3,25.2,.765,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3,97.2
Cleveland Cavaliers,82,242.1,36.3,82.1,.442,4.2,11.2,.373,32.1,70.9,.453,20.2,26.9,.750,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1,97.0
Washington Wizards,82,241.5,36.7,81.5,.451,4.1,10.9,.376,32.6,70.6,.462,19.1,25.7,.743,13.0,29.7,42.7,21.6,7.2,4.7,16.1,26.2,96.6
Utah Jazz*,82,240.9,36.1,77.8,.464,4.0,10.4,.385,32.1,67.4,.476,20.3,26.2,.773,11.4,29.6,41.0,24.9,7.7,5.4,14.9,24.5,96.5
San Antonio Spurs*,82,242.1,36.0,78.0,.462,4.0,10.8,.374,32.0,67.2,.476,20.1,27.0,.746,11.3,32.5,43.8,22.2,7.5,6.7,15.0,20.9,96.2
Golden State Warriors,82,240.9,36.5,87.1,.420,4.2,13.0,.323,32.3,74.0,.437,18.3,26.2,.697,15.9,29.7,45.6,22.6,8.9,4.3,15.9,24.9,95.5
Philadelphia 76ers*,82,241.8,36.5,82.6,.442,2.5,7.8,.323,34.0,74.8,.454,19.2,27.1,.708,14.0,30.1,44.1,22.2,9.6,4.7,15.7,23.6,94.8
Miami Heat*,82,241.8,36.3,78.8,.460,5.4,14.7,.371,30.8,64.1,.481,16.4,22.3,.736,11.2,31.9,43.2,23.5,7.1,6.4,15.0,23.7,94.4
Atlanta Hawks,82,241.8,36.6,83.0,.441,3.1,9.9,.317,33.4,73.1,.458,18.0,24.2,.743,14.0,31.3,45.3,18.9,6.1,5.6,15.4,21.0,94.3
Vancouver Grizzlies,82,242.1,35.3,78.5,.449,4.0,11.0,.361,31.3,67.6,.463,19.4,25.1,.774,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9,93.9
New York Knicks*,82,241.8,35.3,77.7,.455,4.3,11.4,.375,31.0,66.3,.468,17.2,22.0,.781,9.8,30.7,40.5,19.4,6.3,4.3,14.6,24.2,92.1
Los Angeles Clippers,82,240.3,35.1,82.4,.426,5.2,15.5,.339,29.9,67.0,.446,16.6,22.3,.746,11.6,29.0,40.6,18.0,7.0,6.0,16.2,22.2,92.0
Chicago Bulls,82,241.5,31.3,75.4,.415,4.1,12.6,.329,27.1,62.8,.432,18.1,25.5,.709,12.6,28.3,40.9,20.1,7.9,4.7,19.0,23.3,84.8
League Average,82,241.5,36.8,82.1,.449,4.8,13.7,.353,32.0,68.4,.468,19.0,25.3,.750,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings*,82,244.9,38.2,85.0,.449,5.8,16.5,.354,32.4,68.5,.472,19.5,25.3,.771,12.0,33.0,45.0,22.6,9.7,5.3,14.9,19.5,101.7
Milwaukee Bucks*,82,241.2,38.0,82.9,.458,6.9,18.1,.379,31.1,64.8,.480,18.0,22.9,.787,11.9,30.5,42.4,22.5,8.2,4.7,13.7,23.5,100.7
Los Angeles Lakers*,82,242.7,37.9,81.5,.465,5.4,15.5,.344,32.6,66.0,.494,19.4,28.5,.683,13.2,31.5,44.7,23.0,6.9,6.0,14.4,22.8,100.6
Dallas Mavericks*,82,241.5,37.6,81.9,.459,6.3,16.5,.381,31.3,65.4,.479,18.9,23.8,.794,10.1,31.4,41.5,21.2,7.5,6.0,13.9,23.3,100.5
Toronto Raptors*,82,243.4,37.2,85.0,.437,5.2,14.2,.369,31.9,70.8,.451,18.1,24.2,.747,13.6,30.8,44.5,24.4,7.3,6.3,13.2,21.3,97.6
Orlando Magic*,82,243.4,36.7,83.8,.438,6.0,16.4,.364,30.8,67.4,.456,18.0,25.2,.714,13.0,29.9,42.9,22.0,8.2,5.9,15.2,25.3,97.5
Seattle SuperSonics,82,241.5,36.9,81.1,.456,5.7,14.3,.399,31.3,66.8,.468,17.7,24.2,.732,12.2,29.5,41.7,21.9,8.0,5.0,15.3,21.1,97.3
Minnesota Timberwolves*,82,241.8,38.4,83.8,.458,3.9,11.0,.357,34.5,72.8,.473,16.6,21.2,.785,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2,97.3
Houston Rockets,82,241.8,35.9,79.2,.453,6.1,17.2,.357,29.7,62.0,.480,19.3,25.4,.758,11.2,30.8,42.0,19.7,7.2,4.4,14.7,20.2,97.2
Utah Jazz*,82,241.2,36.1,76.7,.471,4.0,10.4,.381,32.1,66.3,.485,20.9,27.8,.752,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7,97.1
Denver Nuggets,82,241.2,36.3,83.9,.433,6.2,17.6,.355,30.1,66.3,.454,17.7,24.0,.737,12.7,31.5,44.2,24.0,6.7,6.6,13.9,22.2,96.6
San Antonio Spurs*,82,241.8,35.2,76.4,.461,5.4,13.3,.407,29.7,63.0,.472,20.4,28.5,.715,11.0,33.1,44.1,21.7,6.9,7.0,14.0,18.9,96.2
Detroit Pistons,82,242.1,35.6,83.9,.424,4.7,13.6,.350,30.9,70.3,.439,19.6,27.2,.721,13.5,32.0,45.5,19.9,7.5,5.5,15.9,23.8,95.6
Portland Trail Blazers*,82,241.2,36.6,78.3,.468,4.5,12.9,.349,32.1,65.4,.492,17.6,23.2,.762,11.7,30.3,42.0,23.9,8.2,5.1,15.3,21.3,95.4
Philadelphia 76ers*,82,242.1,35.4,79.1,.447,3.2,9.8,.326,32.2,69.3,.464,20.7,27.8,.745,13.1,31.7,44.8,20.6,8.4,5.0,15.8,20.4,94.7
Boston Celtics,82,241.8,33.8,79.1,.428,7.2,19.9,.363,26.6,59.2,.450,19.8,26.7,.740,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8,94.6
Phoenix Suns*,82,241.5,35.9,82.4,.436,4.0,12.9,.315,31.9,69.5,.458,18.2,24.1,.755,11.8,30.8,42.7,23.2,9.5,5.2,15.2,22.7,94.0
Washington Wizards,82,240.0,34.5,78.7,.439,3.4,10.3,.324,31.2,68.4,.456,20.8,27.4,.759,12.4,28.9,41.3,20.1,7.7,4.7,17.0,23.3,93.2
Indiana Pacers*,82,243.7,34.5,78.4,.440,4.8,14.1,.342,29.7,64.3,.461,18.8,24.5,.766,11.2,31.6,42.9,21.5,6.9,5.9,15.2,23.5,92.6
Los Angeles Clippers,82,244.3,35.3,78.9,.448,4.4,13.0,.339,30.9,65.9,.469,17.4,25.1,.693,11.7,31.2,42.9,19.3,6.0,6.3,15.8,21.6,92.5
Golden State Warriors,82,241.2,35.8,87.5,.409,3.4,11.8,.293,32.4,75.7,.427,17.4,24.7,.706,16.4,29.1,45.5,21.8,9.0,5.0,15.9,21.1,92.5
Cleveland Cavaliers,82,241.8,35.2,79.7,.442,2.7,8.0,.334,32.6,71.6,.455,19.0,24.9,.765,12.4,29.8,42.1,20.8,7.8,5.3,16.5,23.2,92.2
New Jersey Nets,82,240.6,33.9,79.9,.425,4.4,13.2,.333,29.5,66.7,.443,19.9,26.2,.759,11.1,28.5,39.6,19.5,7.9,5.0,14.7,24.2,92.1
Charlotte Hornets*,82,242.4,34.1,79.3,.431,4.1,12.0,.346,30.0,67.3,.446,19.5,26.2,.745,12.6,31.8,44.4,23.2,8.1,5.5,14.4,21.4,91.9
Vancouver Grizzlies,82,241.2,35.0,79.7,.439,4.0,11.5,.343,31.0,68.2,.455,17.8,23.1,.770,10.9,29.6,40.5,23.2,7.1,4.4,15.7,21.1,91.7
Atlanta Hawks,82,240.6,35.1,81.3,.431,4.1,11.4,.357,31.0,69.9,.443,16.8,22.1,.759,12.5,30.4,42.9,19.0,7.7,4.7,16.7,22.7,91.0
Miami Heat*,82,242.4,32.9,76.3,.430,5.8,16.9,.345,27.0,59.4,.455,17.4,22.9,.759,9.9,29.7,39.6,19.9,7.7,3.7,13.7,21.0,88.9
New York Knicks*,82,242.7,33.6,75.6,.444,4.8,13.6,.351,28.8,62.0,.465,16.8,21.1,.796,9.4,30.8,40.2,18.5,6.6,4.2,14.5,22.7,88.7
Chicago Bulls,82,242.1,33.2,78.2,.424,4.0,11.6,.346,29.2,66.6,.438,17.2,23.3,.739,11.3,27.6,38.9,22.1,8.2,4.6,15.8,23.2,87.6
League Average,82,242.0,35.7,80.6,.443,4.8,13.7,.354,30.8,66.9,.461,18.6,24.9,.748,12.0,30.5,42.5,21.8,7.8,5.3,15.0,22.3,94.8
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dallas Mavericks*,82,242.4,39.0,84.5,.462,7.6,20.1,.378,31.5,64.5,.488,19.6,24.3,.806,11.2,31.3,42.5,22.1,7.1,4.8,12.1,22.5,105.2
Sacramento Kings*,82,240.9,39.8,85.4,.467,5.2,14.1,.367,34.6,71.3,.486,19.7,26.3,.751,12.4,33.0,45.3,23.9,9.0,4.6,13.8,19.0,104.6
Los Angeles Lakers*,82,241.2,38.4,83.4,.461,6.2,17.5,.354,32.2,65.9,.489,18.2,26.1,.699,12.5,31.8,44.3,23.0,7.6,5.8,12.7,22.2,101.3
Orlando Magic*,82,241.8,37.6,84.1,.448,7.6,20.2,.373,30.1,63.8,.471,17.6,23.4,.754,11.5,29.8,41.2,22.0,8.1,4.7,13.6,20.7,100.5
Minnesota Timberwolves*,82,241.5,38.7,84.0,.461,4.8,12.8,.378,33.9,71.2,.476,17.1,21.4,.798,12.9,31.2,44.2,24.3,6.4,5.2,13.4,21.2,99.3
Golden State Warriors,82,241.2,36.6,85.2,.429,3.9,12.1,.322,32.7,73.1,.447,20.6,28.6,.722,16.3,30.4,46.7,20.8,7.9,6.4,16.8,23.0,97.7
Seattle SuperSonics*,82,241.8,38.2,81.5,.469,6.0,15.8,.378,32.2,65.7,.490,15.4,20.4,.755,11.8,28.5,40.3,23.5,8.5,4.4,13.7,21.1,97.7
Milwaukee Bucks,82,242.7,37.1,80.2,.462,7.2,19.3,.375,29.9,60.9,.490,16.1,21.5,.748,10.3,31.2,41.4,22.5,7.3,4.7,14.1,21.8,97.5
Indiana Pacers*,82,242.7,35.8,80.2,.446,4.9,14.6,.339,30.9,65.7,.470,20.3,26.3,.772,11.3,31.3,42.7,23.0,8.0,5.3,15.2,22.9,96.8
San Antonio Spurs*,82,242.1,35.5,77.6,.458,5.3,14.8,.362,30.2,62.8,.480,20.3,27.4,.742,11.1,31.3,42.4,20.0,7.6,6.5,14.4,19.2,96.7
Portland Trail Blazers*,82,241.8,36.6,81.4,.450,5.7,16.1,.354,31.0,65.3,.474,17.7,23.2,.763,13.2,29.8,43.0,23.5,8.6,4.5,14.3,19.7,96.6
Boston Celtics*,82,241.8,34.8,82.1,.424,8.5,23.7,.359,26.3,58.4,.450,18.3,23.9,.764,10.9,31.3,42.2,21.0,9.7,3.6,13.6,21.7,96.4
New Jersey Nets*,82,241.8,37.1,83.1,.446,4.9,14.6,.338,32.2,68.6,.469,17.1,23.3,.735,12.7,30.7,43.3,24.3,8.7,6.0,14.5,21.1,96.2
Utah Jazz*,82,241.8,35.0,77.7,.450,3.4,10.3,.333,31.6,67.5,.468,22.6,29.6,.763,13.5,28.6,42.2,24.4,9.1,6.4,16.5,24.0,96.0
Los Angeles Clippers,82,241.5,36.2,81.3,.445,5.0,14.0,.356,31.2,67.3,.464,18.3,24.7,.739,13.2,30.2,43.4,20.9,6.2,6.6,14.8,19.8,95.7
Cleveland Cavaliers,82,242.1,36.0,80.3,.448,4.7,12.5,.377,31.2,67.8,.461,18.6,24.1,.772,11.8,30.3,42.1,23.1,7.0,5.7,14.6,21.4,95.3
Phoenix Suns,82,241.8,37.8,84.6,.447,4.4,13.4,.327,33.4,71.2,.469,15.2,19.9,.767,13.1,29.6,42.7,22.4,8.1,4.9,14.7,21.8,95.1
Detroit Pistons*,82,240.0,34.7,76.8,.452,6.9,18.4,.376,27.8,58.4,.475,18.0,23.8,.756,9.9,28.9,38.7,21.5,7.9,6.9,14.5,20.7,94.3
Atlanta Hawks,82,241.2,35.4,80.6,.439,5.2,14.6,.354,30.2,66.0,.458,18.1,23.7,.765,11.6,29.8,41.5,20.2,8.1,4.3,15.5,20.8,94.0
Charlotte Hornets*,82,240.9,35.3,80.2,.440,4.2,12.1,.348,31.1,68.1,.456,19.1,25.7,.745,12.9,30.5,43.5,21.5,8.0,5.6,14.0,21.3,93.9
Washington Wizards,82,240.6,35.8,81.3,.441,3.7,9.6,.388,32.1,71.7,.448,17.4,22.8,.765,12.9,29.2,42.0,20.9,7.0,4.3,13.0,21.5,92.8
Houston Rockets,82,243.7,34.6,80.8,.428,6.0,18.0,.335,28.5,62.8,.455,17.1,23.1,.741,12.5,29.4,41.9,18.1,6.5,5.4,14.1,18.0,92.3
